windowMs,targetOccupancy,measuredCalls,storeSizeAfter,p50Us,p95Us,p99Us,maxUs
1000,10000,20000,10001,0.48100000000772525,1.8639999999976453,2.77499999999975,1077.2690000000011
60000,10000,20000,10000,0.4749999999944521,1.7930000000063728,2.4330000000105656,1138.6559999999974
300000,10000,20000,10000,0.48100000000772525,1.6899999999964166,26.467999999994163,2081.261999999981
3600000,10000,20000,10000,0.6820000000118398,2.214000000009264,3.0909999999835236,436.3779999999906
