concurrency,measuredMs,requestsCompleted,throughputPerSec,p50Ms,p95Ms,p99Ms,maxMs,postLoadQueryLatencyMs
1,2000,10197,5098.5,0.1724859999999353,0.2618209999999408,0.36571600000002036,12.03580299999976,1.3381290000002082
5,2000,12875,6437.5,0.7040649999999005,0.9144209999999475,2.6681799999996656,10.421241999999893,0.44387800000004063
20,2000,13703,6851.5,2.621245000000272,3.6390480000000025,9.91454799999974,13.027792999999292,0.21052700000018376
50,2000,14290,7145,6.280299000000014,13.26936299999943,15.277146000000357,20.629139999999097,0.3122430000003078
100,2000,14081,7040.5,12.815873999999894,21.3887279999999,25.1270999999997,199.73001999999906,0.2541369999999006
